-20.3106	-33.3716	-33.3716	-53.6821	0	0
-20.3106	-33.3716	-31.8260	-52.9094	0	1
-20.3106	-33.3716	-22.5077	-48.2502	0	2
-20.3106	-33.3716	-18.4693	-46.2310	0	3
-20.3106	-33.3716	-33.7110	-53.8518	0	4
-20.3106	-33.3716	-26.6861	-50.3394	0	5
-20.3106	-33.3716	-28.7340	-51.3634	0	6
-20.3106	-31.8260	-31.8260	-52.1366	1	1
-20.3106	-31.8260	-22.5077	-47.4774	1	2
-20.3106	-31.8260	-18.4693	-45.4583	1	3
-20.3106	-31.8260	-33.7110	-53.0791	1	4
-20.3106	-31.8260	-26.6861	-49.5666	1	5
-20.3106	-31.8260	-28.7340	-50.5906	1	6
-20.3106	-22.5077	-22.5077	-42.8183	2	2
-20.3106	-22.5077	-18.4693	-40.7991	2	3
-20.3106	-22.5077	-33.7110	-48.4199	2	4
-20.3106	-22.5077	-26.6861	-44.9075	2	5
-20.3106	-22.5077	-28.7340	-45.9314	2	6
-20.3106	-18.4693	-18.4693	-38.7799	3	3
-20.3106	-18.4693	-33.7110	-46.4007	3	4
-20.3106	-18.4693	-26.6861	-42.8883	3	5
-20.3106	-18.4693	-28.7340	-43.9122	3	6
-20.3106	-33.7110	-33.7110	-54.0215	4	4
-20.3106	-33.7110	-26.6861	-50.5091	4	5
-20.3106	-33.7110	-28.7340	-51.5331	4	6
-20.3106	-26.6861	-26.6861	-46.9966	5	5
-20.3106	-26.6861	-28.7340	-48.0206	5	6
-20.3106	-28.7340	-28.7340	-49.0446	6	6
