0	0	0.5	0.5	0	-0.5	0	1	0	0
0.25	-0.25	0.25	0.25	-0.25	-0.75	-0.25	3	0	1
0	0	0.75	0.75	0.25	-0.25	0.25	1	0	2
0	0	0.5	0.5	0	-0.5	0	1	0	3
0.25	-0.25	0.25	0.25	-0.25	-0.75	-0.25	3	0	4
0	0	0.5	0.5	0	-0.5	0	1	0	5
0	0	0.5	0.5	0	-0.5	0	1	0	6
0	-0.5	0	0	-0.5	-1	-0.5	2	1	1
0	0	0.5	0.5	0	-0.5	0	4	1	2
0.25	-0.25	0.25	0.25	-0.25	-0.75	-0.25	3	1	3
0	-0.5	0	0	-0.5	-1	-0.5	2	1	4
0.25	-0.25	0.25	0.25	-0.25	-0.75	-0.25	2	1	5
0.25	-0.25	0.25	0.25	-0.25	-0.75	-0.25	2	1	6
0	0.5	1	1	0.5	0	0.5	5	2	2
0	0	0.75	0.75	0.25	-0.25	0.25	1	2	3
0	0	0.5	0.5	0	-0.5	0	1	2	4
0	0	0.75	0.75	0.25	-0.25	0.25	1	2	5
0	0	0.75	0.75	0.25	-0.25	0.25	1	2	6
0	0	0.5	0.5	0	-0.5	0	1	3	3
0.25	-0.25	0.25	0.25	-0.25	-0.75	-0.25	3	3	4
0	0	0.5	0.5	0	-0.5	0	1	3	5
0	0	0.5	0.5	0	-0.5	0	1	3	6
0	-0.5	0	0	-0.5	-1	-0.5	3	4	4
0.25	-0.25	0.25	0.25	-0.25	-0.75	-0.25	3	4	5
0.25	-0.25	0.25	0.25	-0.25	-0.75	-0.25	3	4	6
0	0	0.5	0.5	0	-0.5	0	4	5	5
0	0	0.5	0.5	0	-0.5	0	4	5	6
0	0	0.5	0.5	0	-0.5	0	1	6	6
